event_id,file_name,start_sample,event_time_s,peak_rank,frequency_khz,magnitude
1,20221018_140051.mat,14726,0.014726,1,235,0.0274343502526187
2,20221018_140051.mat,34626,0.034626,1,225,0.0287398176570305
3,20221018_140051.mat,154623,0.154623,1,165,0.0375438307513932
4,20221018_140051.mat,174523,0.174523,1,245,0.0271724619625339
5,20221018_140051.mat,234621,0.234621,1,245,0.0289873625378167
6,20221018_140051.mat,244571,0.244571,1,220,0.0268922924632874
7,20221018_140051.mat,248153,0.248153,1,160,0.065690466790999
8,20221018_140051.mat,354419,0.354419,1,160,0.0353303878193372
9,20221018_140051.mat,424467,0.424467,1,180,0.0363822424652435
10,20221018_140051.mat,444367,0.444367,1,185,0.0333983371383588
11,20221018_140051.mat,514415,0.514415,1,160,0.0264719380546778
12,20221018_140051.mat,554215,0.554215,1,185,0.0322057251103933
13,20221018_140051.mat,684162,0.684162,1,205,0.033027819453971
14,20221018_140051.mat,704261,0.704261,1,185,0.0435442756879866
15,20221018_140051.mat,754210,0.75421,1,160,0.0351153732805392
16,20221018_140051.mat,844158,0.844158,1,165,0.0356539916638729
17,20221018_140051.mat,894107,0.894107,1,165,0.0389536374910035
18,20221018_140051.mat,924156,0.924156,1,155,0.0363467924773106
19,20221018_140051.mat,984055,0.984055,1,155,0.0291464079942015
20,20221018_140051.mat,1003955,1.003955,1,185,0.0304884646958475
21,20221018_140051.mat,1083953,1.083953,1,210,0.0326357999867776
22,20221018_140051.mat,1114002,1.114002,1,230,0.026141612076666
23,20221018_140051.mat,1123952,1.123952,1,235,0.0304372975548743
24,20221018_140051.mat,1163951,1.163951,1,185,0.0349777858041966
25,20221018_140051.mat,1303848,1.303848,1,170,0.032267918325834
26,20221018_140051.mat,1353797,1.353797,1,155,0.0295067326866138
27,20221018_140051.mat,1374891,1.374891,1,170,0.0602281249615744
28,20221018_140051.mat,1413696,1.413696,1,145,0.0394462164902354
29,20221018_140051.mat,1433596,1.433596,1,170,0.0413546919518714
30,20221018_140051.mat,1453695,1.453695,1,210,0.0336030090309128
31,20221018_140051.mat,1493694,1.493694,1,200,0.0296506868820765
32,20221018_140051.mat,1503644,1.503644,1,180,0.0300630533084252
33,20221018_140051.mat,1553593,1.553593,1,165,0.034029609104922
34,20221018_140051.mat,1593592,1.593592,1,155,0.0346878529906566
35,20221018_140051.mat,1603542,1.603542,1,165,0.0346053330843921
36,20221018_140051.mat,1644337,1.644337,1,155,0.0971956398246902
37,20221018_140051.mat,1653491,1.653491,1,265,0.0259439087550605
38,20221018_140051.mat,1713390,1.71339,1,170,0.0306505623667478
39,20221018_140051.mat,1863436,1.863436,1,175,0.0312862005227206
40,20221018_140051.mat,1890102,1.890102,1,160,0.112867985245456
41,20221018_140051.mat,1903435,1.903435,1,245,0.0343503080312766
42,20221018_140051.mat,1913385,1.913385,1,185,0.035987012825242
43,20221018_140051.mat,2033183,2.033183,1,180,0.0367808059480903
44,20221018_140051.mat,2053282,2.053282,1,195,0.0274411361856562
45,20221018_140051.mat,2063232,2.063232,1,105,0.033287126738156
46,20221018_140051.mat,2093281,2.093281,1,180,0.0298806203375235
47,20221018_140051.mat,2213079,2.213079,1,160,0.0370049681294691
48,20221018_140051.mat,2263028,2.263028,1,245,0.0302005932255549
49,20221018_140051.mat,2272978,2.272978,1,180,0.0330816637097126
50,20221018_140051.mat,2283127,2.283127,1,220,0.0316709243307208
51,20221018_140051.mat,2303027,2.303027,1,180,0.0283574902358136
52,20221018_140051.mat,2312380,2.31238,1,180,0.230604717382555
53,20221018_140051.mat,2338847,2.338847,1,165,0.0503366517175703
54,20221018_140051.mat,2352976,2.352976,1,180,0.0372678136497943
55,20221018_140051.mat,2373075,2.373075,1,230,0.0350727822947319
